X Y Z Stress_XX Stress_XY Stress_YY
0.2 0.52 0 23.6912 -4.44517 2651.13
0.24 0.52 0 33.6928 -4.95546 2678.36
0.28 0.52 0 43.7354 -4.97564 2699.75
0.32 0.52 0 53.3957 -4.77448 2716.28
0.36 0.52 0 62.2942 -4.06604 2728.31
0.4 0.52 0 69.5296 -3.10268 2736.59
0.44 0.52 0 74.3067 -2.00047 2741.69
0.48 0.52 0 77.0047 -0.653068 2744.17
0.52 0.52 0 77.1134 0.755537 2744.16
0.56 0.52 0 74.2811 2.14328 2741.6
0.6 0.52 0 69.5227 3.36128 2736.48
0.64 0.52 0 62.3227 4.39902 2728.25
0.68 0.52 0 53.4904 5.08531 2716.25
0.72 0.52 0 43.7069 5.49511 2699.86
0.76 0.52 0 33.823 5.36008 2678.41
0.8 0.52 0 23.8383 4.83908 2650.9
0.2 0.56 0 27.5321 -13.8033 2652.44
0.24 0.56 0 38.2884 -15.0611 2678.91
0.28 0.56 0 49.3845 -15.0217 2699.55
0.32 0.56 0 59.779 -14.1093 2715.27
0.36 0.56 0 69.2433 -12.1262 2726.5
0.4 0.56 0 76.8491 -9.30704 2734.32
0.44 0.56 0 82.069 -5.88706 2739.05
0.48 0.56 0 84.8378 -1.99486 2741.24
0.52 0.56 0 84.9116 2.03159 2741.23
0.56 0.56 0 82.0836 6.01113 2739.01
0.6 0.56 0 76.9064 9.56075 2734.2
0.64 0.56 0 69.4573 12.4635 2726.42
0.68 0.56 0 59.9012 14.4694 2715.16
0.72 0.56 0 49.4405 15.6327 2699.54
0.76 0.56 0 38.5613 15.471 2678.79
0.8 0.56 0 27.8194 14.211 2652.19
0.2 0.6 0 35.7707 -25.172 2654.68
0.24 0.6 0 48.4452 -27.1167 2679.87
0.28 0.6 0 61.0012 -26.9042 2699.12
0.32 0.6 0 73.0056 -25.0028 2713.32
0.36 0.6 0 83.2428 -21.2986 2723.34
0.4 0.6 0 91.8594 -16.0829 2730.15
0.44 0.6 0 97.3483 -10.1346 2734.2
0.48 0.6 0 100.332 -3.46234 2736.05
0.52 0.6 0 100.313 3.47099 2735.97
0.56 0.6 0 97.4343 10.2281 2733.99
0.6 0.6 0 91.6393 16.3501 2729.79
0.64 0.6 0 83.3931 21.5506 2723.03
0.68 0.6 0 73.0636 25.1721 2712.97
0.72 0.6 0 61.3576 27.2398 2698.87
0.76 0.6 0 48.8932 27.3534 2679.8
0.8 0.6 0 36.1659 25.418 2654.77
0.2 0.64 0 48.8265 -38.6582 2658.66
0.24 0.64 0 64.4173 -40.843 2681.24
0.28 0.64 0 79.4692 -40.1275 2697.84
0.32 0.64 0 93.3275 -36.6883 2709.71
0.36 0.64 0 104.761 -30.8827 2717.85
0.4 0.64 0 114.303 -23.3114 2723.17
0.44 0.64 0 120.341 -14.6205 2726.23
0.48 0.64 0 123.511 -4.98716 2727.68
0.52 0.64 0 123.542 4.98447 2727.61
0.56 0.64 0 120.539 14.6397 2726.07
0.6 0.64 0 114.031 23.4407 2722.88
0.64 0.64 0 104.905 31.1504 2717.59
0.68 0.64 0 93.4548 36.8591 2709.34
0.72 0.64 0 79.7109 40.3355 2697.5
0.76 0.64 0 64.8887 41.0652 2681
0.8 0.64 0 49.536 38.5661 2658.15
0.2 0.68 0 67.8413 -55.7169 2662.83
0.24 0.68 0 87.0692 -57.9218 2681.79
0.28 0.68 0 105.335 -55.8801 2694.97
0.32 0.68 0 121.435 -50.2583 2703.69
0.36 0.68 0 134.396 -41.9175 2709.49
0.4 0.68 0 144.651 -31.4736 2713.15
0.44 0.68 0 151.229 -19.5241 2715.19
0.48 0.68 0 154.445 -6.68877 2716.01
0.52 0.68 0 154.46 6.54639 2715.98
0.56 0.68 0 151.235 19.5234 2715
0.6 0.68 0 144.348 31.5665 2712.79
0.64 0.68 0 134.492 42.1231 2709.08
0.68 0.68 0 121.551 50.5511 2703.36
0.72 0.68 0 105.647 56.1589 2694.54
0.76 0.68 0 87.5313 58.0916 2681.54
0.8 0.68 0 68.3207 55.668 2662.7
0.2 0.72 0 94.6252 -76.9016 2667.12
0.24 0.72 0 118.603 -78.0624 2681.17
0.28 0.72 0 139.948 -73.7056 2689.76
0.32 0.72 0 157.615 -65.2081 2694.87
0.36 0.72 0 171.894 -53.6818 2698.09
0.4 0.72 0 182.951 -39.9907 2699.94
0.44 0.72 0 189.787 -24.5029 2700.84
0.48 0.72 0 193.036 -8.30092 2701.29
0.52 0.72 0 193.292 8.30273 2701.33
0.56 0.72 0 189.992 24.5075 2700.78
0.6 0.72 0 182.423 39.9533 2699.67
0.64 0.72 0 171.824 53.6347 2697.69
0.68 0.72 0 157.983 65.1338 2694.45
0.72 0.72 0 139.974 73.6194 2689.18
0.76 0.72 0 118.566 78.0379 2680.73
0.8 0.72 0 95.2458 76.9268 2667.27
0.2 0.76 0 131.405 -103.793 2670.54
0.24 0.76 0 160.061 -102.032 2677.46
0.28 0.76 0 183.864 -94.132 2680.88
0.32 0.76 0 202.944 -81.725 2682.2
0.36 0.76 0 217.767 -66.2508 2683.06
0.4 0.76 0 229.22 -48.8209 2683.34
0.44 0.76 0 235.898 -29.8617 2683.52
0.48 0.76 0 238.969 -10.1515 2683.8
0.52 0.76 0 238.981 9.92198 2683.83
0.56 0.76 0 235.675 29.6316 2683.49
0.6 0.76 0 228.541 48.7562 2683.3
0.64 0.76 0 217.443 66.2516 2682.72
0.68 0.76 0 202.947 81.7043 2681.86
0.72 0.76 0 184.225 93.899 2680.31
0.76 0.76 0 160.157 101.676 2677.37
0.8 0.76 0 132.049 103.109 2670.41
0.2 0.8 0 181.846 -135.35 2670.47
0.24 0.8 0 212.979 -128.734 2669.56
0.28 0.8 0 238.124 -115.703 2667.17
0.32 0.8 0 257.45 -98.4957 2665.16
0.36 0.8 0 272.319 -78.6095 2663.81
0.4 0.8 0 282.489 -57.4931 2663.13
0.44 0.8 0 289.109 -34.6434 2662.86
0.48 0.8 0 292.18 -11.706 2662.85
0.52 0.8 0 291.765 11.6951 2662.82
0.56 0.8 0 288.464 34.6813 2662.95
0.6 0.8 0 282.325 57.3735 2663.22
0.64 0.8 0 271.379 78.6791 2663.72
0.68 0.8 0 257.353 98.533 2665.06
0.72 0.8 0 238.311 115.684 2667.08
0.76 0.8 0 212.932 128.565 2669.15
0.8 0.8 0 181.433 134.763 2670.14
