X Y Z Strain_XX Strain_XY Strain_YY
0.4 0.44 0 -0.000213851 9.83661e-06 0.000969328
0.44 0.44 0 -0.000205334 8.52239e-06 0.000959539
0.48 0.44 0 -0.000202749 2.89915e-06 0.000953652
0.52 0.44 0 -0.000203257 -1.63052e-06 0.00095373
0.56 0.44 0 -0.000204472 -9.2769e-06 0.000960668
0.6 0.44 0 -0.000212741 -9.63865e-06 0.000969443
0.64 0.44 0 -0.000225018 -1.02182e-05 0.000984953
0.68 0.44 0 -0.000235393 -8.78856e-06 0.000999899
0.72 0.44 0 -0.000242615 -5.51927e-06 0.00100921
0.76 0.44 0 -0.000247853 -2.92655e-06 0.00101244
0.8 0.44 0 -0.000250486 -1.13766e-06 0.00100978
0.2 0.48 0 -0.000252369 7.33634e-07 0.00100881
0.24 0.48 0 -0.0002517 1.62228e-06 0.00101123
0.28 0.48 0 -0.000247158 2.59266e-06 0.00100636
0.32 0.48 0 -0.000237145 4.27893e-06 0.00099262
0.36 0.48 0 -0.000223548 4.95628e-06 0.000973278
0.4 0.48 0 -0.000213015 4.05274e-06 0.000957226
0.44 0.48 0 -0.000206634 2.7204e-06 0.000947017
0.48 0.48 0 -0.000203232 2.67831e-06 0.000942224
0.52 0.48 0 -0.000201756 -2.48844e-06 0.00094371
0.56 0.48 0 -0.00020664 -1.33882e-06 0.000946686
0.6 0.48 0 -0.00021304 -2.75125e-06 0.000957225
0.64 0.48 0 -0.000224106 -3.19258e-06 0.000973364
0.68 0.48 0 -0.000237524 -2.41783e-06 0.000992714
0.72 0.48 0 -0.000247428 -8.00336e-07 0.00100651
0.76 0.48 0 -0.000252107 2.16635e-07 0.00101154
0.8 0.48 0 -0.000252998 1.09729e-06 0.00100913
0.2 0.52 0 -0.000252983 1.10822e-06 0.00100912
0.24 0.52 0 -0.000252106 2.28586e-07 0.00101152
0.28 0.52 0 -0.000247423 -7.97875e-07 0.00100651
0.32 0.52 0 -0.00023754 -2.39342e-06 0.000992717
0.36 0.52 0 -0.000224129 -3.15257e-06 0.000973424
0.4 0.52 0 -0.000213034 -2.73949e-06 0.000957256
0.44 0.52 0 -0.000206566 -1.27224e-06 0.000946634
0.48 0.52 0 -0.000201711 -2.46378e-06 0.000943667
0.52 0.52 0 -0.000203256 2.66338e-06 0.00094223
0.56 0.52 0 -0.000206653 2.69201e-06 0.000946974
