X Y Z Strain_XX Strain_XY Strain_YY
0.866667 0.666667 0 -0.0884212 0.00477978 0.0923876
0.133333 0.733333 0 -0.0850724 -0.00419024 0.0889638
0.2 0.733333 0 -0.0835565 -0.00463323 0.0869808
0.266667 0.733333 0 -0.0824341 -0.00438247 0.0856635
0.333333 0.733333 0 -0.0817797 -0.00353274 0.0849319
0.4 0.733333 0 -0.0814083 -0.00230626 0.0845
0.466667 0.733333 0 -0.0812827 -0.000757084 0.0843523
0.533333 0.733333 0 -0.0812827 0.000757077 0.0843523
0.6 0.733333 0 -0.0814083 0.00230626 0.0845
0.666667 0.733333 0 -0.0817797 0.00353274 0.0849319
0.733333 0.733333 0 -0.0824341 0.00438247 0.0856635
0.8 0.733333 0 -0.0835565 0.00463323 0.0869808
0.866667 0.733333 0 -0.0850724 0.00419023 0.0889638
0.133333 0.8 0 -0.0820481 -0.0035134 0.0859289
0.2 0.8 0 -0.0804318 -0.00377593 0.0837683
0.266667 0.8 0 -0.0792396 -0.0034801 0.0823561
0.333333 0.8 0 -0.0785083 -0.00275602 0.081532
0.4 0.8 0 -0.0781462 -0.00177564 0.0811103
0.466667 0.8 0 -0.0779869 -0.000592671 0.0809105
0.533333 0.8 0 -0.077987 0.000592666 0.0809105
0.6 0.8 0 -0.0781462 0.00177564 0.0811103
0.666667 0.8 0 -0.0785083 0.00275602 0.081532
0.733333 0.8 0 -0.0792396 0.00348009 0.082356
0.8 0.8 0 -0.0804318 0.00377593 0.0837683
0.866667 0.8 0 -0.0820482 0.0035134 0.0859289
0.133333 0.866667 0 -0.0795695 -0.00272913 0.0834706
0.2 0.866667 0 -0.0779597 -0.00285667 0.0812652
0.266667 0.866667 0 -0.0767822 -0.00256779 0.0798373
0.333333 0.866667 0 -0.076123 -0.00200955 0.0790894
0.4 0.866667 0 -0.0757336 -0.00128283 0.0786219
0.466667 0.866667 0 -0.0756065 -0.000406417 0.0784568
0.533333 0.866667 0 -0.0756065 0.000406466 0.0784568
0.6 0.866667 0 -0.0757336 0.00128287 0.0786219
0.666667 0.866667 0 -0.076123 0.00200955 0.0790894
0.733333 0.866667 0 -0.0767822 0.0025678 0.0798373
0.8 0.866667 0 -0.0779597 0.00285668 0.0812652
0.866667 0.866667 0 -0.0795695 0.00272914 0.0834706
