X Y Z Stress_XX Stress_XY Stress_YY
0.733333 0.8 0 -245.72 -71.63 251197
0.8 0.8 0 -249.856 -80.9586 251184
0.866667 0.8 0 -218.936 -79.3458 251222
0.133333 0.866667 0 -382.155 155.196 251471
0.2 0.866667 0 -417.051 98.5409 251475
0.266667 0.866667 0 -411.596 87.2974 251472
0.333333 0.866667 0 -395.932 52.7529 251476
0.4 0.866667 0 -393.053 27.7511 251474
0.466667 0.866667 0 -386.108 12.4464 251475
0.533333 0.866667 0 -386.112 -11.5075 251476
0.6 0.866667 0 -392.865 -26.721 251475
0.666667 0.866667 0 -396.477 -51.8451 251476
0.733333 0.866667 0 -413.078 -87.1949 251473
0.8 0.866667 0 -420.129 -101.918 251475
0.866667 0.866667 0 -380.467 -150.704 251481
