X Y Z Strain_XX Strain_XY Strain_YY
0.52 0.44 0 -0.00134073 -1.64566e-05 0.00140599
0.56 0.44 0 -0.00134755 -3.11358e-05 0.00141271
0.6 0.44 0 -0.00135528 -3.7303e-05 0.00142004
0.64 0.44 0 -0.00135481 -3.89603e-05 0.00141833
0.68 0.44 0 -0.001344 -3.71462e-05 0.00140603
0.72 0.44 0 -0.0013194 -3.37059e-05 0.00137914
0.76 0.44 0 -0.00128377 -3.11507e-05 0.00134059
0.8 0.44 0 -0.00123696 -2.90353e-05 0.00129051
0.2 0.48 0 -0.00123799 1.62019e-05 0.00129136
0.24 0.48 0 -0.0012848 1.66357e-05 0.00134163
0.28 0.48 0 -0.00132331 1.77526e-05 0.00138271
0.32 0.48 0 -0.00135023 1.76858e-05 0.00141158
0.36 0.48 0 -0.00136539 1.72879e-05 0.00142839
0.4 0.48 0 -0.00136814 1.30982e-05 0.00143217
0.44 0.48 0 -0.00136506 6.01304e-06 0.00142984
0.48 0.48 0 -0.00136082 -1.76831e-06 0.00142601
0.52 0.48 0 -0.00136152 -9.29674e-06 0.00142686
0.56 0.48 0 -0.00136522 -1.33448e-05 0.00143016
0.6 0.48 0 -0.00136943 -1.31226e-05 0.00143392
0.64 0.48 0 -0.00136627 -1.17993e-05 0.00142939
0.68 0.48 0 -0.00135209 -1.06553e-05 0.00141359
0.72 0.48 0 -0.00132481 -7.64029e-06 0.00138411
0.76 0.48 0 -0.00128731 -6.1531e-06 0.00134388
0.8 0.48 0 -0.00124056 -5.36572e-06 0.00129384
0.2 0.52 0 -0.00124061 -5.38827e-06 0.00129386
0.24 0.52 0 -0.00128726 -6.57085e-06 0.0013438
0.28 0.52 0 -0.00132465 -8.10469e-06 0.00138398
0.32 0.52 0 -0.00135243 -1.05153e-05 0.00141385
0.36 0.52 0 -0.00136709 -1.23057e-05 0.00143028
0.4 0.52 0 -0.00137009 -1.29805e-05 0.00143437
0.44 0.52 0 -0.00136649 -1.3536e-05 0.00143152
0.48 0.52 0 -0.00136196 -9.42177e-06 0.00142717
0.52 0.52 0 -0.00136011 -2.88702e-06 0.0014254
0.56 0.52 0 -0.00136411 5.63582e-06 0.00142872
0.6 0.52 0 -0.00136742 1.24951e-05 0.00143157
0.64 0.52 0 -0.00136407 1.73577e-05 0.00142692
0.68 0.52 0 -0.00134981 1.7791e-05 0.00141113
0.72 0.52 0 -0.00132348 1.8264e-05 0.00138276
0.76 0.52 0 -0.0012847 1.71061e-05 0.00134154
0.8 0.52 0 -0.00123792 1.62569e-05 0.00129128
0.2 0.56 0 -0.00123691 -2.88446e-05 0.00129043
0.24 0.56 0 -0.00128339 -3.13335e-05 0.00134019
0.28 0.56 0 -0.00131873 -3.39112e-05 0.00137854
0.32 0.56 0 -0.0013438 -3.63917e-05 0.00140573
0.36 0.56 0 -0.00135482 -3.87005e-05 0.00141839
0.4 0.56 0 -0.00135583 -3.5806e-05 0.00142042
0.44 0.56 0 -0.00134893 -2.96944e-05 0.0014142
0.48 0.56 0 -0.00134173 -1.50427e-05 0.00140699
0.52 0.56 0 -0.00133881 2.54036e-06 0.00140409
0.56 0.56 0 -0.00134326 2.23406e-05 0.00140823
0.6 0.56 0 -0.00134776 3.56308e-05 0.00141234
0.64 0.56 0 -0.00134731 4.36989e-05 0.00141072
0.68 0.56 0 -0.00133727 4.36983e-05 0.00139913
0.72 0.56 0 -0.00131377 4.31661e-05 0.00137347
0.76 0.56 0 -0.00127729 4.00277e-05 0.00133421
0.8 0.56 0 -0.0012314 3.74208e-05 0.00128493
0.2 0.6 0 -0.00122942 -5.84734e-05 0.00128363
0.24 0.6 0 -0.00127154 -6.38766e-05 0.00132911
0.28 0.6 0 -0.00130243 -6.82472e-05 0.00136313
0.32 0.6 0 -0.00132076 -7.09254e-05 0.00138393
0.36 0.6 0 -0.0013254 -7.11325e-05 0.00139013
0.4 0.6 0 -0.00132081 -6.21558e-05 0.00138686
0.44 0.6 0 -0.00131184 -4.74649e-05 0.00137798
0.48 0.6 0 -0.00130306 -2.10897e-05 0.00136897
0.52 0.6 0 -0.00129976 9.93168e-06 0.00136536
0.56 0.6 0 -0.00130375 4.23108e-05 0.00136913
0.6 0.6 0 -0.00131084 6.50854e-05 0.00137582
0.64 0.6 0 -0.00131611 7.90537e-05 0.00138011
0.68 0.6 0 -0.00131185 7.98756e-05 0.00137437
0.72 0.6 0 -0.00129458 7.79255e-05 0.0013549
0.76 0.6 0 -0.0012646 7.15225e-05 0.00132217
0.8 0.6 0 -0.00122145 6.46505e-05 0.0012755
0.2 0.64 0 -0.00121637 -9.94186e-05 0.00127158
0.24 0.64 0 -0.00125086 -0.000105099 0.00130978
0.28 0.64 0 -0.00127286 -0.000108664 0.00133493
0.32 0.64 0 -0.00127981 -0.000109654 0.00134452
0.36 0.64 0 -0.0012755 -0.000104015 0.00134174
0.4 0.64 0 -0.00126559 -8.8717e-05 0.00133279
0.44 0.64 0 -0.0012544 -6.41359e-05 0.0013212
0.48 0.64 0 -0.00124374 -2.68014e-05 0.00131039
0.52 0.64 0 -0.00124189 1.74518e-05 0.00130816
0.56 0.64 0 -0.00124578 5.96153e-05 0.00131191
0.6 0.64 0 -0.00125378 9.23269e-05 0.00131966
0.64 0.64 0 -0.00126466 0.00011358 0.00133002
0.68 0.64 0 -0.00127068 0.000119485 0.00133446
0.72 0.64 0 -0.00126318 0.000119572 0.00132466
0.76 0.64 0 -0.00124353 0.000114604 0.00130221
0.8 0.64 0 -0.00120942 0.000104686 0.00126489
0.2 0.68 0 -0.00119216 -0.000151127 0.00124895
0.24 0.68 0 -0.00121577 -0.000156761 0.00127624
0.28 0.68 0 -0.00122412 -0.000158064 0.00128805
0.32 0.68 0 -0.00121598 -0.000154465 0.00128255
0.36 0.68 0 -0.00120385 -0.000139724 0.00127182
0.4 0.68 0 -0.00119014 -0.000116734 0.0012586
0.44 0.68 0 -0.00117782 -8.14674e-05 0.00124564
0.48 0.68 0 -0.0011686 -3.45373e-05 0.00123585
0.52 0.68 0 -0.00116895 2.17387e-05 0.00123587
0.56 0.68 0 -0.00117271 7.26516e-05 0.00123974
0.6 0.68 0 -0.00118025 0.000117162 0.00124726
0.64 0.68 0 -0.001192 0.000146864 0.00125891
0.68 0.68 0 -0.00120538 0.000161743 0.00127131
0.72 0.68 0 -0.00121199 0.000166669 0.00127545
0.76 0.68 0 -0.00120712 0.000165452 0.0012675
0.8 0.68 0 -0.00118798 0.00015491 0.00124498
0.2 0.72 0 -0.00115079 -0.000218109 0.00120985
0.24 0.72 0 -0.00115634 -0.000217642 0.00122027
0.28 0.72 0 -0.00114708 -0.00021206 0.00121387
0.32 0.72 0 -0.00112762 -0.000197117 0.00119603
0.36 0.72 0 -0.00111121 -0.000169797 0.00118075
0.4 0.72 0 -0.00109609 -0.000138782 0.00116628
0.44 0.72 0 -0.00108685 -9.28191e-05 0.00115597
0.48 0.72 0 -0.00108341 -3.81287e-05 0.00115218
0.52 0.72 0 -0.00108419 2.52192e-05 0.0011531
0.56 0.72 0 -0.00108453 8.13566e-05 0.00115344
0.6 0.72 0 -0.00109127 0.000135746 0.00115955
0.64 0.72 0 -0.0011008 0.000173235 0.0011691
0.68 0.72 0 -0.00111476 0.000198944 0.0011825
0.72 0.72 0 -0.00113347 0.00021382 0.00119898
0.76 0.72 0 -0.00115018 0.000221117 0.00121251
0.8 0.72 0 -0.00114932 0.000213978 0.00120867
0.2 0.76 0 -0.00108269 -0.000300022 0.00114409
0.24 0.76 0 -0.00106287 -0.000288994 0.00112908
0.28 0.76 0 -0.00103678 -0.000272959 0.00110535
0.32 0.76 0 -0.00101235 -0.000244103 0.00108209
0.36 0.76 0 -0.000998173 -0.000202874 0.00106945
0.4 0.76 0 -0.00098598 -0.000164491 0.00105849
