X Y Z Strain_XX Strain_XY Strain_YY
0.566667 0.3 0 -0.000288341 3.92721e-06 0.00115121
0.6 0.3 0 -0.000288416 7.2203e-06 0.00115007
0.633333 0.3 0 -0.000288431 1.04695e-05 0.00114852
0.666667 0.3 0 -0.000287964 1.36967e-05 0.00114622
0.7 0.3 0 -0.000287024 1.63412e-05 0.00114379
0.733333 0.3 0 -0.000286081 1.76438e-05 0.00114165
0.766667 0.3 0 -0.000285345 1.82118e-05 0.00114033
0.8 0.3 0 -0.000284686 1.84367e-05 0.00113856
0.833333 0.3 0 -0.000284491 1.8044e-05 0.00113752
0.166667 0.333333 0 -0.000277468 -1.81834e-05 0.0011019
0.2 0.333333 0 -0.000278534 -1.79233e-05 0.00110345
0.233333 0.333333 0 -0.000279416 -1.67089e-05 0.00110528
0.266667 0.333333 0 -0.000280006 -1.55426e-05 0.00110635
0.3 0.333333 0 -0.000280307 -1.44049e-05 0.00110708
0.333333 0.333333 0 -0.000280751 -1.28605e-05 0.0011078
0.366667 0.333333 0 -0.000281627 -1.1064e-05 0.00110994
0.4 0.333333 0 -0.000282142 -8.91348e-06 0.00111158
0.433333 0.333333 0 -0.000281697 -6.83673e-06 0.00111192
0.466667 0.333333 0 -0.000280939 -4.37124e-06 0.0011121
0.5 0.333333 0 -0.000280382 -1.45371e-06 0.00111147
0.533333 0.333333 0 -0.000280271 1.59438e-06 0.0011117
0.566667 0.333333 0 -0.000279938 4.568e-06 0.00111018
0.6 0.333333 0 -0.000279693 7.65662e-06 0.00110885
0.633333 0.333333 0 -0.000279235 1.06796e-05 0.00110682
0.666667 0.333333 0 -0.000278627 1.32492e-05 0.0011048
0.7 0.333333 0 -0.000278582 1.50682e-05 0.00110412
0.733333 0.333333 0 -0.000278344 1.63682e-05 0.00110372
0.766667 0.333333 0 -0.000278369 1.66731e-05 0.0011037
0.8 0.333333 0 -0.000277955 1.71775e-05 0.00110282
0.833333 0.333333 0 -0.00027728 1.67632e-05 0.00110154
0.166667 0.366667 0 -0.000269149 -1.70615e-05 0.0010662
0.2 0.366667 0 -0.000271124 -1.6885e-05 0.00106875
0.233333 0.366667 0 -0.000272265 -1.57043e-05 0.00107011
0.266667 0.366667 0 -0.000272585 -1.46152e-05 0.00107071
0.3 0.366667 0 -0.000272583 -1.34386e-05 0.00107094
0.333333 0.366667 0 -0.000272661 -1.20543e-05 0.00107131
0.366667 0.366667 0 -0.000272846 -1.0423e-05 0.00107188
0.4 0.366667 0 -0.000273117 -8.5602e-06 0.00107287
0.433333 0.366667 0 -0.000273292 -6.64861e-06 0.00107296
0.466667 0.366667 0 -0.000272845 -3.92842e-06 0.00107298
0.5 0.366667 0 -0.000272091 -8.16131e-07 0.00107254
0.533333 0.366667 0 -0.000271838 2.58474e-06 0.00107262
0.566667 0.366667 0 -0.000271475 5.40383e-06 0.0010715
0.6 0.366667 0 -0.000270963 8.14244e-06 0.00107038
0.633333 0.366667 0 -0.000270335 1.08488e-05 0.00106859
0.666667 0.366667 0 -0.000270049 1.27935e-05 0.00106767
0.7 0.366667 0 -0.000270278 1.46456e-05 0.00106776
0.733333 0.366667 0 -0.000270697 1.57322e-05 0.00106818
0.766667 0.366667 0 -0.000271045 1.60956e-05 0.00106857
0.8 0.366667 0 -0.000270846 1.62889e-05 0.00106855
0.833333 0.366667 0 -0.00026982 1.59366e-05 0.00106739
0.166667 0.4 0 -0.000260708 -1.59598e-05 0.00103288
0.2 0.4 0 -0.000262892 -1.58788e-05 0.00103526
0.233333 0.4 0 -0.000264209 -1.5171e-05 0.00103661
0.266667 0.4 0 -0.000264632 -1.4042e-05 0.0010372
0.3 0.4 0 -0.00026466 -1.27173e-05 0.00103705
0.333333 0.4 0 -0.00026452 -1.08914e-05 0.00103652
0.366667 0.4 0 -0.000264163 -8.92267e-06 0.00103607
0.4 0.4 0 -0.000263912 -7.15723e-06 0.00103577
0.433333 0.4 0 -0.000264069 -5.33547e-06 0.00103652
0.466667 0.4 0 -0.000263658 -3.02547e-06 0.00103568
0.5 0.4 0 -0.000263317 -6.73287e-08 0.00103554
0.533333 0.4 0 -0.000262908 3.21357e-06 0.00103559
0.566667 0.4 0 -0.000262859 5.85917e-06 0.0010353
0.6 0.4 0 -0.000262529 7.91689e-06 0.00103434
0.633333 0.4 0 -0.000262167 1.02075e-05 0.00103354
0.666667 0.4 0 -0.000262024 1.24408e-05 0.00103314
0.7 0.4 0 -0.000262232 1.39942e-05 0.00103389
0.733333 0.4 0 -0.000262544 1.52392e-05 0.00103485
0.766667 0.4 0 -0.000262787 1.60399e-05 0.00103571
0.8 0.4 0 -0.000262261 1.57527e-05 0.00103502
0.833333 0.4 0 -0.000261171 1.56845e-05 0.00103434
0.166667 0.433333 0 -0.000252778 -1.46732e-05 0.00100193
0.2 0.433333 0 -0.000254338 -1.48812e-05 0.00100298
0.233333 0.433333 0 -0.000255657 -1.4247e-05 0.00100421
0.266667 0.433333 0 -0.000256372 -1.31255e-05 0.00100437
0.3 0.433333 0 -0.000256523 -1.15453e-05 0.0010037
0.333333 0.433333 0 -0.000256596 -9.72917e-06 0.00100338
0.366667 0.433333 0 -0.00025633 -8.06806e-06 0.00100265
0.4 0.433333 0 -0.000255867 -6.29738e-06 0.0010021
0.433333 0.433333 0 -0.000255478 -4.21911e-06 0.00100217
0.466667 0.433333 0 -0.000255032 -2.18868e-06 0.00100077
0.5 0.433333 0 -0.000255303 7.13178e-07 0.00100138
0.533333 0.433333 0 -0.000255533 3.22703e-06 0.00100159
0.566667 0.433333 0 -0.000255655 5.56109e-06 0.00100187
0.6 0.433333 0 -0.000255766 7.4602e-06 0.00100169
0.633333 0.433333 0 -0.000255743 9.0907e-06 0.00100161
0.666667 0.433333 0 -0.000255378 1.09762e-05 0.00100169
0.7 0.433333 0 -0.000255043 1.27146e-05 0.00100212
0.733333 0.433333 0 -0.000254838 1.40152e-05 0.00100297
0.766667 0.433333 0 -0.000254292 1.49815e-05 0.00100341
0.8 0.433333 0 -0.000253522 1.50763e-05 0.00100323
0.833333 0.433333 0 -0.000252901 1.49816e-05 0.0010033
0.166667 0.466667 0 -0.000245916 -1.32156e-05 0.000973101
