X Y Z Stress_XX Stress_XY Stress_YY
0.2 0.52 0 30.6441 -3.73631 2647.4
0.24 0.52 0 40.1266 -5.03986 2672.33
0.28 0.52 0 50.6701 -5.57903 2692.96
0.32 0.52 0 60.5777 -4.94639 2708.93
0.36 0.52 0 69.3266 -3.75276 2721
0.4 0.52 0 75.4484 -2.82912 2729.63
0.44 0.52 0 81.0468 -1.82747 2734.96
0.48 0.52 0 84.0921 -0.708117 2737.09
0.52 0.52 0 83.653 0.894821 2736.97
0.56 0.52 0 80.961 1.91722 2734.75
0.6 0.52 0 76.2177 3.14258 2729.49
0.64 0.52 0 69.2296 4.32678 2721.03
0.68 0.52 0 60.6764 5.32829 2708.72
0.72 0.52 0 50.5513 5.99614 2692.41
0.76 0.52 0 39.5403 5.62089 2673.08
0.8 0.52 0 30.1871 4.70565 2647.95
0.2 0.56 0 34.8597 -13.9518 2649.06
0.24 0.56 0 45.8725 -14.9451 2673.18
0.28 0.56 0 56.3141 -15.3516 2693.68
0.32 0.56 0 68.0998 -14.3818 2709.21
0.36 0.56 0 75.669 -11.5915 2719.55
0.4 0.56 0 83.5592 -9.02011 2727.82
0.44 0.56 0 88.9011 -6.10361 2731.75
0.48 0.56 0 91.1827 -2.05532 2734.83
0.52 0.56 0 91.3337 2.04285 2734.91
0.56 0.56 0 88.8663 5.9796 2731.89
0.6 0.56 0 83.6513 8.89548 2727.66
0.64 0.56 0 75.6418 11.8119 2719.84
0.68 0.56 0 68.1942 14.3067 2708.74
0.72 0.56 0 57.1692 15.2058 2694.65
0.76 0.56 0 46.5603 15.0525 2672.51
0.8 0.56 0 35.6614 14.5707 2648.24
0.2 0.6 0 43.4746 -25.7587 2650.18
0.24 0.6 0 55.9997 -27.4658 2673.15
0.28 0.6 0 68.2846 -26.8214 2691.55
0.32 0.6 0 80.2711 -24.8225 2705.92
0.36 0.6 0 90.4731 -20.338 2716.51
0.4 0.6 0 98.6742 -15.8076 2722.5
0.44 0.6 0 103.429 -10.0862 2727.59
0.48 0.6 0 106.849 -3.38853 2729.59
0.52 0.6 0 106.71 3.42775 2729.66
0.56 0.6 0 103.369 10.1228 2727.38
0.6 0.6 0 98.0678 16.1738 2722.37
