 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
   63     0.00923689              1   0.00404748     0.00396273   0.00923689       0.00911408   T=4.87607s   ACCEPTED
   64     0.00911408              1   0.00396273     0.00388021   0.00911408       0.00899448   T=4.79617s   ACCEPTED
   65     0.00899448              1   0.00388021     0.00379984   0.00899448       0.00887789   T=3.4373s   ACCEPTED
   66     0.00887789              1   0.00379984     0.00372153   0.00887789       0.00876416   T=4.00275s   ACCEPTED
   67     0.00876416              1   0.00372153      0.0036452   0.00876416       0.00865315   T=4.22872s   ACCEPTED
   68     0.00865315              1    0.0036452      0.0035708   0.00865315        0.0085447   T=3.59285s   ACCEPTED
   69      0.0085447              1    0.0035708     0.00349824    0.0085447       0.00843869   T=3.80953s   ACCEPTED
   70     0.00843869              1   0.00349824     0.00342747   0.00843869         0.008335   T=3.46888s   ACCEPTED
   71       0.008335              1   0.00342747     0.00335842     0.008335       0.00823352   T=3.62443s   ACCEPTED
   72     0.00823352              1   0.00335842     0.00329104   0.00823352       0.00813415   T=3.40343s   ACCEPTED
   73     0.00813415              1   0.00329104     0.00322527   0.00813415       0.00803678   T=4.85682s   ACCEPTED
   74     0.00803678              1   0.00322527     0.00316106   0.00803678       0.00794134   T=3.4328s   ACCEPTED
   75     0.00794134              1   0.00316106     0.00309837   0.00794134       0.00784774   T=3.85152s   ACCEPTED
   76     0.00784774              1   0.00309837     0.00303714   0.00784774        0.0077559   T=3.23855s   ACCEPTED
   77      0.0077559              1   0.00303714     0.00297734    0.0077559       0.00766575   T=4.62475s   ACCEPTED
   78     0.00766575              1   0.00297734     0.00291892   0.00766575       0.00757722   T=4.12902s   ACCEPTED
   79     0.00757722              1   0.00291892     0.00286183   0.00757722       0.00749026   T=3.19511s   ACCEPTED
   80     0.00749026              1   0.00286183     0.00280605   0.00749026       0.00740479   T=3.69508s   ACCEPTED
   81     0.00740479              1   0.00280605     0.00275153   0.00740479       0.00732077   T=3.5304s   ACCEPTED
   82     0.00732077              1   0.00275153     0.00269824   0.00732077       0.00723815   T=3.36056s   ACCEPTED
   83     0.00723815              1   0.00269824     0.00264614   0.00723815       0.00715687   T=3.17888s   ACCEPTED
   84     0.00715687              1   0.00264614     0.00259521   0.00715687        0.0070769   T=3.44677s   ACCEPTED
   85      0.0070769              1   0.00259521      0.0025454    0.0070769       0.00699818   T=4.25204s   ACCEPTED
   86     0.00699818              1    0.0025454      0.0024967   0.00699818       0.00692068   T=3.06387s   ACCEPTED
   87     0.00692068              1    0.0024967     0.00244907   0.00692068       0.00684437   T=3.51944s   ACCEPTED
   88     0.00684437              1   0.00244907     0.00240248   0.00684437        0.0067692   T=3.5824s   ACCEPTED
   89      0.0067692              1   0.00240248     0.00235691    0.0067692       0.00669515   T=3.59457s   ACCEPTED
   90     0.00669515              1   0.00235691     0.00231233   0.00669515       0.00662218   T=3.79726s   ACCEPTED
   91     0.00662218              1   0.00231233     0.00226872   0.00662218       0.00655026   T=3.41299s   ACCEPTED
   92     0.00655026              1   0.00226872     0.00222604   0.00655026       0.00647937   T=3.7026s   ACCEPTED
   93     0.00647937              1   0.00222604     0.00218429   0.00647937       0.00640947   T=3.7382s   ACCEPTED
   94     0.00640947              1   0.00218429     0.00214343   0.00640947       0.00634055   T=3.74614s   ACCEPTED
