 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
   57     0.00644781     3.2768e-06   2.07266e-10    1.59188e-10   0.00644781       0.00527314   T=11.3493s   ACCEPTED
   58     0.00527314      4.096e-06   1.59188e-10    1.16965e-10   0.00527314       0.00476761   T=9.72624s   ACCEPTED
   59     0.00476761     3.2768e-06   1.16965e-10    8.99907e-11   0.00476761       0.00391593   T=11.3482s   ACCEPTED
   60     0.00391593       5.12e-06   8.99907e-11    6.58513e-11   0.00391593       0.00426804   T=8.1424s   ACCEPTED
   61     0.00426804    2.62144e-06   6.58513e-11    4.82558e-11   0.00426804       0.00266421   T=13.0019s   ACCEPTED
   62     0.00266421        6.4e-06   4.82558e-11    3.29312e-11   0.00266421       0.00313423   T=6.50929s   ACCEPTED
   63     0.00313423    2.62144e-06   3.29312e-11    2.36967e-11   0.00313423       0.00189159   T=12.9883s   ACCEPTED
   64     0.00189159        6.4e-06   2.36967e-11    1.65291e-11   0.00189159        0.0023074   T=6.49774s   ACCEPTED
   65      0.0023074    2.62144e-06   1.65291e-11    1.16528e-11    0.0023074         0.001346   T=13.134s   ACCEPTED
   66       0.001346       5.12e-06   1.16528e-11    8.30552e-12     0.001346       0.00139079   T=8.15111s   ACCEPTED
   67     0.00139079     3.2768e-06   8.30552e-12    6.31001e-12   0.00139079       0.00110667   T=11.4598s   ACCEPTED
   68     0.00110667      4.096e-06   6.31001e-12    4.68964e-12   0.00110667       0.00102529   T=9.9512s   ACCEPTED
   69     0.00102529     3.2768e-06   4.68964e-12    3.57237e-12   0.00102529      0.000820259   T=11.5768s   ACCEPTED
   70    0.000820259      4.096e-06   3.57237e-12    2.65025e-12   0.000820259      0.000756603   T=9.88563s   ACCEPTED
   71    0.000756603     3.2768e-06   2.65025e-12    2.02381e-12   0.000756603      0.000608567   T=11.5241s   ACCEPTED
   72    0.000608567      4.096e-06   2.02381e-12     1.4989e-12   0.000608567      0.000558885   T=9.77714s   ACCEPTED
   73    0.000558885     3.2768e-06   1.4989e-12    1.14721e-12   0.000558885      0.000451938   T=11.4283s   ACCEPTED
   74    0.000451938      4.096e-06   1.14721e-12    8.48339e-13   0.000451938      0.000413246   T=9.77129s   ACCEPTED
   75    0.000413246     3.2768e-06   8.48339e-13    6.50654e-13   0.000413246      0.000335931   T=11.4402s   ACCEPTED
   76    0.000335931      4.096e-06   6.50654e-13    4.80451e-13   0.000335931      0.000305862   T=9.8696s   ACCEPTED
   77    0.000305862     3.2768e-06   4.80451e-13    3.69204e-13   0.000305862      0.000249925   T=11.4628s   ACCEPTED
   78    0.000249925       5.12e-06   3.69204e-13    2.71421e-13   0.000249925       0.00027389   T=8.1916s   ACCEPTED
   79     0.00027389    2.62144e-06   2.71421e-13    1.98715e-13   0.00027389      0.000170436   T=13.1089s   ACCEPTED
   80    0.000170436        6.4e-06   1.98715e-13    1.36091e-13   0.000170436      0.000201174   T=6.60019s   ACCEPTED
   81    0.000201174    2.62144e-06   1.36091e-13    9.78916e-14   0.000201174      0.000121201   T=13.0626s   ACCEPTED
   82    0.000121201        6.4e-06   9.78916e-14    6.84344e-14   0.000121201      0.000148103   T=6.56657s   ACCEPTED
   83    0.000148103    2.62144e-06   6.84344e-14    4.82558e-14   0.000148103      8.63415e-05   T=13.1088s   ACCEPTED
   84    8.63415e-05       5.12e-06   4.82558e-14    3.44607e-14   8.63415e-05      8.93924e-05   T=8.15489s   ACCEPTED
   85    8.93924e-05     3.2768e-06   3.44607e-14    2.61571e-14   8.93924e-05      7.09547e-05   T=11.4505s   ACCEPTED
   86    7.09547e-05      4.096e-06   2.61571e-14    1.94811e-14   7.09547e-05      6.59234e-05   T=9.83282s   ACCEPTED
   87    6.59234e-05     3.2768e-06   1.94811e-14    1.48287e-14   6.59234e-05      5.26315e-05   T=11.5115s   ACCEPTED
   88    5.26315e-05      4.096e-06   1.48287e-14    1.10206e-14   5.26315e-05      4.86637e-05   T=9.81588s   ACCEPTED
   89    4.86637e-05     3.2768e-06   1.10206e-14    8.41052e-15   4.86637e-05      3.90755e-05   T=11.4252s   ACCEPTED
   90    3.90755e-05      4.096e-06   8.41052e-15    6.23844e-15   3.90755e-05      3.59581e-05   T=9.83241s   ACCEPTED
   91    3.59581e-05     3.2768e-06   6.23844e-15    4.77235e-15   3.59581e-05      2.90371e-05   T=11.4383s   ACCEPTED
   92    2.90371e-05      4.096e-06   4.77235e-15    3.53353e-15   2.90371e-05      2.65961e-05   T=9.81742s   ACCEPTED
   93    2.65961e-05     3.2768e-06   3.53353e-15    2.70905e-15   2.65961e-05      2.15963e-05   T=11.4756s   ACCEPTED
   94    2.15963e-05      4.096e-06   2.70905e-15    2.00254e-15   2.15963e-05      1.96908e-05   T=9.76904s   ACCEPTED
   95    1.96908e-05     3.2768e-06   2.00254e-15    1.53838e-15   1.96908e-05      1.60758e-05   T=11.3864s   ACCEPTED
   96    1.60758e-05       5.12e-06   1.53838e-15    1.13054e-15   1.60758e-05      1.75983e-05   T=8.15979s   ACCEPTED
   97    1.75983e-05    2.62144e-06   1.13054e-15    8.28933e-16   1.75983e-05      1.09813e-05   T=13.067s   ACCEPTED
   98    1.09813e-05        6.4e-06   8.28933e-16     5.6693e-16   1.09813e-05      1.29215e-05   T=6.54096s   ACCEPTED
   99    1.29215e-05    2.62144e-06   5.6693e-16     4.0858e-16   1.29215e-05      7.80979e-06   T=13.0484s   ACCEPTED
  100    7.80979e-06        6.4e-06   4.0858e-16     2.8508e-16   7.80979e-06      9.50928e-06   T=6.52314s   ACCEPTED
  101    9.50928e-06    2.62144e-06   2.8508e-16      2.015e-16   9.50928e-06      5.56367e-06   T=13.1802s   ACCEPTED
  102    5.56367e-06       5.12e-06    2.015e-16    1.43819e-16   5.56367e-06      5.74977e-06   T=8.18152s   ACCEPTED
  103    5.74977e-06     3.2768e-06   1.43819e-16    1.09178e-16   5.74977e-06      4.56457e-06   T=11.4345s   ACCEPTED
  104    4.56457e-06      4.096e-06   1.09178e-16    8.13361e-17   4.56457e-06      4.24142e-06   T=9.86573s   ACCEPTED
  105    4.24142e-06     3.2768e-06   8.13361e-17    6.19215e-17   4.24142e-06      3.38719e-06   T=11.5663s   ACCEPTED
  106    3.38719e-06      4.096e-06   6.19215e-17    4.60298e-17   3.38719e-06      3.13185e-06   T=9.94152s   ACCEPTED
  107    3.13185e-06     3.2768e-06   4.60298e-17    3.51344e-17   3.13185e-06      2.51575e-06   T=11.5946s   ACCEPTED
  108    2.51575e-06      4.096e-06   3.51344e-17    2.60648e-17   2.51575e-06      2.31478e-06   T=9.87378s   ACCEPTED
  109    2.31478e-06     3.2768e-06   2.60648e-17    1.99431e-17   2.31478e-06      1.87006e-06   T=11.4791s   ACCEPTED
  110    1.87006e-06      4.096e-06   1.99431e-17     1.4768e-17   1.87006e-06      1.71255e-06   T=9.80934s   ACCEPTED
  111    1.71255e-06     3.2768e-06   1.4768e-17    1.13245e-17   1.71255e-06       1.3914e-06   T=11.4963s   ACCEPTED
  112     1.3914e-06      4.096e-06   1.13245e-17    8.37232e-18   1.3914e-06      1.26839e-06   T=9.97078s   ACCEPTED
  113    1.26839e-06     3.2768e-06   8.37232e-18    6.43275e-18   1.26839e-06      1.03611e-06   T=11.4875s   ACCEPTED
  114    1.03611e-06       5.12e-06   6.43275e-18    4.72037e-18   1.03611e-06      1.13111e-06   T=8.18041s   ACCEPTED
  115    1.13111e-06    2.62144e-06   4.72037e-18    3.46868e-18   1.13111e-06      7.08852e-07   T=13.0633s   ACCEPTED
