 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
   61     0.00111622            6.4   0.000269813     0.00026688   0.00111622      0.000956619   T=0.887537s   ACCEPTED
   62    0.000956619              8   0.00026688    0.000264554   0.000956619       0.00109903   T=0.670016s   ACCEPTED
   63     0.00109903            6.4   0.000264554    0.000261765   0.00109903       0.00094069   T=0.871875s   ACCEPTED
   64     0.00094069              8   0.000261765    0.000259588   0.00094069       0.00108336   T=0.679621s   ACCEPTED
   65     0.00108336            6.4   0.000259588     0.00025693   0.00108336      0.000926076   T=0.883653s   ACCEPTED
   66    0.000926076            6.4   0.00025693    0.000254526   0.000926076      0.000809411   T=0.879979s   ACCEPTED
   67    0.000809411              8   0.000254526    0.000252353   0.000809411      0.000913266   T=0.657755s   ACCEPTED
   68    0.000913266            6.4   0.000252353    0.000250061   0.000913266      0.000796889   T=0.880419s   ACCEPTED
   69    0.000796889              8   0.000250061    0.000248013   0.000796889      0.000901638   T=0.660032s   ACCEPTED
   70    0.000901638            6.4   0.000248013    0.000245824   0.000901638      0.000785422   T=0.891465s   ACCEPTED
   71    0.000785422              8   0.000245824    0.000243892   0.000785422      0.000891135   T=0.651071s   ACCEPTED
   72    0.000891135            6.4   0.000243892    0.000241797   0.000891135       0.00077496   T=0.897665s   ACCEPTED
   73     0.00077496              8   0.000241797    0.000239971   0.00077496      0.000881706   T=0.659789s   ACCEPTED
   74    0.000881706            6.4   0.000239971    0.000237963   0.000881706      0.000765457   T=0.905453s   ACCEPTED
   75    0.000765457              8   0.000237963    0.000236237   0.000765457      0.000873301   T=0.652987s   ACCEPTED
   76    0.000873301            6.4   0.000236237    0.000234308   0.000873301      0.000756869   T=0.881118s   ACCEPTED
   77    0.000756869              8   0.000234308    0.000232674   0.000756869      0.000865876   T=0.683814s   ACCEPTED
   78    0.000865876            6.4   0.000232674    0.000230819   0.000865876      0.000749157   T=0.891087s   ACCEPTED
   79    0.000749157              8   0.000230819    0.000229271   0.000749157       0.00085939   T=0.678916s   ACCEPTED
   80     0.00085939            6.4   0.000229271    0.000227482   0.00085939      0.000742283   T=0.888321s   ACCEPTED
   81    0.000742283              8   0.000227482    0.000226014   0.000742283      0.000853803   T=0.667649s   ACCEPTED
   82    0.000853803            6.4   0.000226014    0.000224287   0.000853803       0.00073621   T=0.896082s   ACCEPTED
   83     0.00073621              8   0.000224287    0.000222894   0.00073621      0.000849079   T=0.668476s   ACCEPTED
   84    0.000849079            6.4   0.000222894    0.000221224   0.000849079      0.000730907   T=0.890985s   ACCEPTED
   85    0.000730907              8   0.000221224      0.0002199   0.000730907      0.000845186   T=0.67234s   ACCEPTED
   86    0.000845186            6.4    0.0002199    0.000218282   0.000845186      0.000726343   T=0.899337s   ACCEPTED
   87    0.000726343            6.4   0.000218282    0.000216801   0.000726343      0.000637577   T=0.88974s   ACCEPTED
   88    0.000637577              8   0.000216801    0.000215452   0.000637577      0.000722071   T=0.687539s   ACCEPTED
   89    0.000722071            6.4   0.000215452    0.000214017   0.000722071      0.000632678   T=0.8947s   ACCEPTED
   90    0.000632678              8   0.000214017    0.000212726   0.000632678      0.000718478   T=0.665653s   ACCEPTED
   91    0.000718478            6.4   0.000212726    0.000211335   0.000718478      0.000628388   T=0.886006s   ACCEPTED
   92    0.000628388              8   0.000211335    0.000210099   0.000628388      0.000715537   T=0.674401s   ACCEPTED
   93    0.000715537            6.4   0.000210099    0.000208748   0.000715537      0.000624682   T=0.889377s   ACCEPTED
